2022-03-24 10:37:17,994 DEBUG||[HikariConfig.java:946][attemptFromContextLoader] Driver class org.postgresql.Driver found in Thread context class loader org.springframework.boot.devtools.restart.classloader.RestartClassLoader@7679641c
2022-03-24 10:37:18,172 DEBUG||[HikariConfig.java:1066][logConfiguration] HikariPool-1 - configuration:
2022-03-24 10:37:18,175 DEBUG||[HikariConfig.java:1098][logConfiguration] allowPoolSuspension.............false
2022-03-24 10:37:18,175 DEBUG||[HikariConfig.java:1098][logConfiguration] autoCommit......................true
2022-03-24 10:37:18,175 DEBUG||[HikariConfig.java:1098][logConfiguration] catalog.........................none
2022-03-24 10:37:18,176 DEBUG||[HikariConfig.java:1098][logConfiguration] connectionInitSql...............none
2022-03-24 10:37:18,176 DEBUG||[HikariConfig.java:1098][logConfiguration] connectionTestQuery.............none
2022-03-24 10:37:18,176 DEBUG||[HikariConfig.java:1098][logConfiguration] connectionTimeout...............60000
2022-03-24 10:37:18,176 DEBUG||[HikariConfig.java:1098][logConfiguration] dataSource......................none
2022-03-24 10:37:18,177 DEBUG||[HikariConfig.java:1098][logConfiguration] dataSourceClassName.............none
2022-03-24 10:37:18,177 DEBUG||[HikariConfig.java:1098][logConfiguration] dataSourceJNDI..................none
2022-03-24 10:37:18,177 DEBUG||[HikariConfig.java:1098][logConfiguration] dataSourceProperties............{password=<masked>}
2022-03-24 10:37:18,178 DEBUG||[HikariConfig.java:1098][logConfiguration] driverClassName................."org.postgresql.Driver"
2022-03-24 10:37:18,178 DEBUG||[HikariConfig.java:1098][logConfiguration] exceptionOverrideClassName......none
2022-03-24 10:37:18,178 DEBUG||[HikariConfig.java:1098][logConfiguration] healthCheckProperties...........{}
2022-03-24 10:37:18,178 DEBUG||[HikariConfig.java:1098][logConfiguration] healthCheckRegistry.............none
2022-03-24 10:37:18,178 DEBUG||[HikariConfig.java:1098][logConfiguration] idleTimeout.....................600000
2022-03-24 10:37:18,178 DEBUG||[HikariConfig.java:1098][logConfiguration] initializationFailTimeout.......1
2022-03-24 10:37:18,179 DEBUG||[HikariConfig.java:1098][logConfiguration] isolateInternalQueries..........false
2022-03-24 10:37:18,179 DEBUG||[HikariConfig.java:1098][logConfiguration] jdbcUrl.........................jdbc:postgresql://sviluppo.rjcsoft.it:5432/portoravdb
2022-03-24 10:37:18,179 DEBUG||[HikariConfig.java:1098][logConfiguration] leakDetectionThreshold..........0
2022-03-24 10:37:18,179 DEBUG||[HikariConfig.java:1098][logConfiguration] maxLifetime.....................1800000
2022-03-24 10:37:18,179 DEBUG||[HikariConfig.java:1098][logConfiguration] maximumPoolSize.................20
2022-03-24 10:37:18,179 DEBUG||[HikariConfig.java:1098][logConfiguration] metricRegistry..................none
2022-03-24 10:37:18,180 DEBUG||[HikariConfig.java:1098][logConfiguration] metricsTrackerFactory...........none
2022-03-24 10:37:18,180 DEBUG||[HikariConfig.java:1098][logConfiguration] minimumIdle.....................20
2022-03-24 10:37:18,180 DEBUG||[HikariConfig.java:1098][logConfiguration] password........................<masked>
2022-03-24 10:37:18,180 DEBUG||[HikariConfig.java:1098][logConfiguration] poolName........................"HikariPool-1"
2022-03-24 10:37:18,180 DEBUG||[HikariConfig.java:1098][logConfiguration] readOnly........................false
2022-03-24 10:37:18,180 DEBUG||[HikariConfig.java:1098][logConfiguration] registerMbeans..................false
2022-03-24 10:37:18,181 DEBUG||[HikariConfig.java:1098][logConfiguration] scheduledExecutor...............none
2022-03-24 10:37:18,181 DEBUG||[HikariConfig.java:1098][logConfiguration] schema..........................none
2022-03-24 10:37:18,181 DEBUG||[HikariConfig.java:1098][logConfiguration] threadFactory...................internal
2022-03-24 10:37:18,181 DEBUG||[HikariConfig.java:1098][logConfiguration] transactionIsolation............default
2022-03-24 10:37:18,181 DEBUG||[HikariConfig.java:1098][logConfiguration] username........................"portoravuser"
2022-03-24 10:37:18,181 DEBUG||[HikariConfig.java:1098][logConfiguration] validationTimeout...............5000
2022-03-24 10:37:18,182 INFO ||[HikariDataSource.java:110][getConnection] HikariPool-1 - Starting...
2022-03-24 10:37:18,350 DEBUG||[HikariPool.java:564][checkFailFast] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@73828b48
2022-03-24 10:37:18,352 INFO ||[HikariDataSource.java:123][getConnection] HikariPool-1 - Start completed.
