2022-04-27 15:35:31,474 DEBUG||[HikariConfig.java:946][attemptFromContextLoader] Driver class org.postgresql.Driver found in Thread context class loader org.springframework.boot.devtools.restart.classloader.RestartClassLoader@de8a728
2022-04-27 15:35:31,602 DEBUG||[HikariConfig.java:1066][logConfiguration] HikariPool-1 - configuration:
2022-04-27 15:35:31,605 DEBUG||[HikariConfig.java:1098][logConfiguration] allowPoolSuspension.............false
2022-04-27 15:35:31,605 DEBUG||[HikariConfig.java:1098][logConfiguration] autoCommit......................true
2022-04-27 15:35:31,605 DEBUG||[HikariConfig.java:1098][logConfiguration] catalog.........................none
2022-04-27 15:35:31,606 DEBUG||[HikariConfig.java:1098][logConfiguration] connectionInitSql...............none
2022-04-27 15:35:31,606 DEBUG||[HikariConfig.java:1098][logConfiguration] connectionTestQuery.............none
2022-04-27 15:35:31,606 DEBUG||[HikariConfig.java:1098][logConfiguration] connectionTimeout...............60000
2022-04-27 15:35:31,606 DEBUG||[HikariConfig.java:1098][logConfiguration] dataSource......................none
2022-04-27 15:35:31,606 DEBUG||[HikariConfig.java:1098][logConfiguration] dataSourceClassName.............none
2022-04-27 15:35:31,607 DEBUG||[HikariConfig.java:1098][logConfiguration] dataSourceJNDI..................none
2022-04-27 15:35:31,607 DEBUG||[HikariConfig.java:1098][logConfiguration] dataSourceProperties............{password=<masked>}
2022-04-27 15:35:31,607 DEBUG||[HikariConfig.java:1098][logConfiguration] driverClassName................."org.postgresql.Driver"
2022-04-27 15:35:31,608 DEBUG||[HikariConfig.java:1098][logConfiguration] exceptionOverrideClassName......none
2022-04-27 15:35:31,608 DEBUG||[HikariConfig.java:1098][logConfiguration] healthCheckProperties...........{}
2022-04-27 15:35:31,608 DEBUG||[HikariConfig.java:1098][logConfiguration] healthCheckRegistry.............none
2022-04-27 15:35:31,608 DEBUG||[HikariConfig.java:1098][logConfiguration] idleTimeout.....................600000
2022-04-27 15:35:31,609 DEBUG||[HikariConfig.java:1098][logConfiguration] initializationFailTimeout.......1
2022-04-27 15:35:31,609 DEBUG||[HikariConfig.java:1098][logConfiguration] isolateInternalQueries..........false
2022-04-27 15:35:31,609 DEBUG||[HikariConfig.java:1098][logConfiguration] jdbcUrl.........................jdbc:postgresql://sviluppo.rjcsoft.it:5432/portoravdb
2022-04-27 15:35:31,609 DEBUG||[HikariConfig.java:1098][logConfiguration] leakDetectionThreshold..........0
2022-04-27 15:35:31,610 DEBUG||[HikariConfig.java:1098][logConfiguration] maxLifetime.....................1800000
2022-04-27 15:35:31,610 DEBUG||[HikariConfig.java:1098][logConfiguration] maximumPoolSize.................20
2022-04-27 15:35:31,610 DEBUG||[HikariConfig.java:1098][logConfiguration] metricRegistry..................none
2022-04-27 15:35:31,610 DEBUG||[HikariConfig.java:1098][logConfiguration] metricsTrackerFactory...........none
2022-04-27 15:35:31,611 DEBUG||[HikariConfig.java:1098][logConfiguration] minimumIdle.....................20
2022-04-27 15:35:31,611 DEBUG||[HikariConfig.java:1098][logConfiguration] password........................<masked>
2022-04-27 15:35:31,611 DEBUG||[HikariConfig.java:1098][logConfiguration] poolName........................"HikariPool-1"
2022-04-27 15:35:31,611 DEBUG||[HikariConfig.java:1098][logConfiguration] readOnly........................false
2022-04-27 15:35:31,611 DEBUG||[HikariConfig.java:1098][logConfiguration] registerMbeans..................false
2022-04-27 15:35:31,611 DEBUG||[HikariConfig.java:1098][logConfiguration] scheduledExecutor...............none
2022-04-27 15:35:31,611 DEBUG||[HikariConfig.java:1098][logConfiguration] schema..........................none
2022-04-27 15:35:31,611 DEBUG||[HikariConfig.java:1098][logConfiguration] threadFactory...................internal
2022-04-27 15:35:31,612 DEBUG||[HikariConfig.java:1098][logConfiguration] transactionIsolation............default
2022-04-27 15:35:31,612 DEBUG||[HikariConfig.java:1098][logConfiguration] username........................"portoravuser"
2022-04-27 15:35:31,613 DEBUG||[HikariConfig.java:1098][logConfiguration] validationTimeout...............5000
2022-04-27 15:35:31,613 INFO ||[HikariDataSource.java:110][getConnection] HikariPool-1 - Starting...
2022-04-27 15:35:31,816 DEBUG||[HikariPool.java:564][checkFailFast] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3ac1c1cc
2022-04-27 15:35:31,819 INFO ||[HikariDataSource.java:123][getConnection] HikariPool-1 - Start completed.
2022-04-27 15:35:31,923 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=1, active=0, idle=1, waiting=0)
2022-04-27 15:35:31,942 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@24bc5ddd
2022-04-27 15:35:31,972 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2a7ba73a
2022-04-27 15:35:32,002 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2e4436ad
2022-04-27 15:35:32,038 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@6b46ad01
2022-04-27 15:35:32,085 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2dd25701
2022-04-27 15:35:32,120 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5ae767f6
2022-04-27 15:35:32,149 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5599c359
2022-04-27 15:35:32,197 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@b69524e
2022-04-27 15:35:32,215 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@34bc667d
2022-04-27 15:35:32,242 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@55057fcb
2022-04-27 15:35:32,286 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@4e9ded39
2022-04-27 15:35:32,334 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@f272d86
2022-04-27 15:35:32,407 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@58ff3d91
2022-04-27 15:35:32,432 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@26fafa62
2022-04-27 15:35:32,471 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@10e0c9c1
2022-04-27 15:35:32,505 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@61381855
2022-04-27 15:35:32,575 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@1f1461f4
2022-04-27 15:35:32,611 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3d2aff48
2022-04-27 15:35:32,663 DEBUG||[HikariPool.java:728][call] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2b1297ed
2022-04-27 15:35:32,663 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - After adding stats (total=20, active=1, idle=19, waiting=0)
2022-04-27 15:36:01,925 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:36:01,925 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:36:31,929 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:36:31,929 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:37:01,938 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:37:01,940 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:37:31,947 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:37:31,948 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:38:01,952 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:38:01,953 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:38:31,958 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:38:31,959 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:39:01,960 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:39:01,961 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:39:31,972 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:39:31,973 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:40:28,778 WARN ||[HikariPool.java:787][run] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=56s813ms24µs800ns).
2022-04-27 15:40:28,778 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:40:28,778 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:40:58,794 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:40:58,794 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:41:28,807 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:41:28,807 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:41:58,810 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:41:58,811 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:42:28,817 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:42:28,818 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:42:58,830 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:42:58,831 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:43:28,834 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:43:28,835 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:43:58,844 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:43:58,844 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:44:28,854 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:44:28,854 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:44:58,863 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:44:58,863 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:45:28,871 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:45:28,871 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:45:58,874 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:45:58,874 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:46:28,883 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:46:28,883 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:46:58,886 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:46:58,886 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:47:28,889 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:47:28,889 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:47:58,893 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:47:58,894 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:48:28,906 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:48:28,906 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:48:58,919 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:48:58,919 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:49:28,922 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:49:28,922 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:49:58,931 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:49:58,931 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:50:28,933 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:50:28,934 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:50:58,957 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:50:58,958 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:51:28,969 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:51:28,969 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:51:58,972 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
2022-04-27 15:51:58,972 DEBUG||[HikariPool.java:517][fillPool] HikariPool-1 - Fill pool skipped, pool is at sufficient level.
2022-04-27 15:52:28,985 DEBUG||[HikariPool.java:421][logPoolState] HikariPool-1 - Pool stats (total=20, active=0, idle=20, waiting=0)
